Title,Artist,Genre
Wishing,Alexis Ffrench,Contemporary classical
Smooth Operator,Sade,Jazz; Soul-RnB
Best I Ever Had,Drake,Rap; Soul-RnB; Hip-Hop
Prelude C Major,Bach,Contemporary classical; Classical
The Lament for the Rohirrim,Clamavi De Profundis,Soundtrack
Da Funk,Daft Punk,Dance; Electronic; Pop 
Electric Love,Borns,Pop
2040,Lil Baby; Lil Durk,Rap; Hip-Hop
Last Friday Night,Katy Perry,Pop
Frat Rules,A$ap Mob,Rap; Hip-Hop
Somewhere Only We Know,Keane,Rock; Indie-rock; Pop
Down ,Jay Sean,Soul-Rnb; Pop
Nostalgia,Yanni,Electronic; Ambient electronic; New Age
Demons,Imagine Dragons,Rock
Ingobernable,"Gipsy Kings, C. Tangana, Nicolas Reyes, Tonino Baliardo",Latin; Pop
Masakali,Mohit Chauhan,Indian; Bollywood
See Red,Pooh Shiesty,Rap; Hip-Hop
Company,Justin Bieber,Pop; Soul-RnB
White Brown Black,Avvy Sra; Karan Aujla,Indian; Hip-Hop
Aura,Dennis Lloyd,Pop
Fireflies,Owl City,Pop; Indie-rock; Electronic
We Are The Champions,Queen,Rock; Rock-opera
"Paint It, Black",Ciara,Soul-RnB
Helium,Glass Animals,Rock; Post-punk
Cold/mess,Prateek Kuhad,Indie-rock
I'm Scared,Young Thug; 21 Savage; Doe Boy,Rap; Hip-Hop
Ajab Si,KK,Indian; Bollywood
Experience,Ludovico Einaudi,Contemporary classical; Classical
Erase Me,Kid Cudi,Rap; Hip-Hop; Soul-RnB
Lost,NF,Rap; Hip-Hop
Disturbia,Rihanna,Dance; Electronic; Pop 
Nainowaale Ne,Neeti Mohan,Indian; Pop
Back In Blood,Pooh Shiesty; Lil Durk,Rap; Hip-Hop
Green Light,Lil Durk,Rap; Hip-Hop
7.62 God,Pooh Shiesty,Rap; Hip-Hop
Black Force Music,Skilla Baby,Rap; Hip-Hop
Still Trappin',Lil Durk; King Von,Rap; Hip-Hop
Neighbors,Pooh Shiesty; Big30,Rap; Hip-Hop
Risky,Lil Durk,Rap; Hip-Hop
AHHH HA,Lil Durk,Rap; Hip-Hop
Dirt McGerk,Kodak Black; EST Gee; Lil Crix,Rap; Hip-Hop
Pure As The Driven Snow,Rachel Zegler,Pop; Soundtrack
Why,Bazzi,Pop
Supernova,Ansel Elgort,Pop
The Search,NF,Soul-RnB; Alternative Hip-Hop
Rush,Troye Sivan,Dance; Electronic; Pop 
My Type,Saint Motel,Dance; Electronic; Pop 
Walk Man,Tiny Meat Gang,Rap; Hip-Hop
Golden Hour,JVKE,Pop
Classic ,MKTO,Pop; Rap
Know You Miss Me,Chasinbens,Hip-Hop
Mount Everest,Labrinth,Electronic; Pop
Pretty Please,Jackson Wang,Pop; Dance
Maps,Maroon 5,Pop
Party in the USA,Miley Cyrus,Pop
